kong_name,longitude,latitude,kong_image_name,kong_text,image_ratio_width,image_ratio_height,scaling_factor
Roboklopp,51.44695,-0.13836,Roboklopp_London.png,,2100,1500,3.5
SidTheKid112,37.5026,-122.2252,just_donnt.png,,1292,1292,0.7
Shmobshmarley,38.5667,-121.4683,igor_map.png,,2100,1500,1
DaKang,37.5295,-77.4756,isaac_map.png,,2100,1500,1
Wooglin,32.8312,-117.1225,fabrice_map.png,,2100,1500,1
dustin_griner,35.8325,-78.6435,ddddd.png,,2100,1500,1
qcs,33.5722,-112.0891,qcs_map.png,,2100,1500,1
soilende,55.911491,10.757933,soilende_map.png,,800,571,0.9
Chief Monkey,51.50853,-0.12574,chief_monkey_london.png,,2100,1500,1
Delkats,51.50853,-0.12574,Delkats_London.png,,2100,1500,1
Don Huey,41.8781136,-87.6297982,don_huey_Chicago_IL.png,,2100,1500,1
DZ_ _,37.337671,-121.887426,Dz_ _-San Jose_CA.png,,2100,1500,1
Jdubbs,37.804363,-122.271111,Jdubbs_Oakland_CA.png,,2100,1500,1
LeeG,56.130366,-106.346771,LeeG_Toronto.png,,2100,1500,1
Manville,51.50853,-0.12574,manville_London.png,,2100,1500,1
n8bran,27.94752,-82.45843,n8bran_Tampa_FL.png,,2100,1500,1
SaiiKK2d3,45.8353,1.2625,SaiKK2d3_Limoges_France.png,,2100,1500,1
vinnym,34.05223,-118.24368,vinnym_LosAngeles.png,,2100,1500,1
